Player,Time,ACS,Kills,Death,Assists,Kills - Death,ADR,First Kill,First Death,First Kill - First Death,HS%,Adversário,Mapa,Mapa Pick,Lado de Início,Data,Rounds Vencidos,Rounds Perdidos,Astra,Breach,Brimstone,Cypher,Jett,Kay/O,Killjoy,Omen,Phoenix,Raze,Reyna,Sage,Skye,Sova,Viper,Yoru,Etapa,Campeonato,Bracket,MD
mizi,corsa rebaixado,232,13,13,2,0,1965,1,3,-2,44%,Stars Horizon Fem,Icebox,Null,Defesa,03/06/2021,5,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
may,corsa rebaixado,183,11,13,3,-2,968,1,1,0,21%,Stars Horizon Fem,Icebox,Null,Defesa,03/06/2021,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
Kisa,corsa rebaixado,149,6,17,5,-11,1054,1,4,-3,16%,Stars Horizon Fem,Icebox,Null,Defesa,03/06/2021,5,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
anAzik,corsa rebaixado,142,8,14,2,-6,884,1,3,-2,16%,Stars Horizon Fem,Icebox,Null,Defesa,03/06/2021,5,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Oitavas de Final,3
bstrdd,Gamelanders Purple,385,19,12,9,7,2878,5,2,3,25%,Griffos Starfire,Haven,Null,Ataque,04/06/2021,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
naxy,Gamelanders Purple,289,18,5,3,13,2314,0,0,0,20%,Griffos Starfire,Haven,Null,Ataque,04/06/2021,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
nat1,Gamelanders Purple,234,12,9,6,3,1255,1,4,-3,13%,Griffos Starfire,Haven,Null,Ataque,04/06/2021,13,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Drn,Gamelanders Purple,195,11,10,6,1,1254,1,0,1,37%,Griffos Starfire,Haven,Null,Ataque,04/06/2021,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
daiki,Gamelanders Purple,183,11,9,4,2,1252,1,1,0,48%,Griffos Starfire,Haven,Null,Ataque,04/06/2021,13,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Mands,Griffos Starfire,238,13,13,3,0,1491,2,1,1,28%,Gamelanders Purple,Haven,Null,Defesa,04/06/2021,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Lunna,Griffos Starfire,204,10,15,10,-5,1403,1,1,0,19%,Gamelanders Purple,Haven,Null,Defesa,04/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Quartas de Final,3
covinhas,Griffos Starfire,184,8,15,7,-7,1121,1,1,0,9%,Gamelanders Purple,Haven,Null,Defesa,04/06/2021,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Pepita,Griffos Starfire,172,8,14,4,-6,1129,2,2,0,21%,Gamelanders Purple,Haven,Null,Defesa,04/06/2021,2,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
peixinho,Griffos Starfire,150,6,14,4,-8,957,1,3,-2,28%,Gamelanders Purple,Haven,Null,Defesa,04/06/2021,2,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
bstrdd,Gamelanders Purple,315,25,17,5,8,1863,4,4,0,25%,Griffos Starfire,Icebox,Null,Defesa,04/06/2021,13,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Drn,Gamelanders Purple,258,19,14,11,5,1577,3,3,0,14%,Griffos Starfire,Icebox,Null,Defesa,04/06/2021,13,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
daiki,Gamelanders Purple,204,19,13,4,6,1115,1,1,0,22%,Griffos Starfire,Icebox,Null,Defesa,04/06/2021,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,Protocolo: Gêneses,Quartas de Final,3
naxy,Gamelanders Purple,187,15,13,4,2,1275,1,0,1,24%,Griffos Starfire,Icebox,Null,Defesa,04/06/2021,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,Protocolo: Gêneses,Quartas de Final,3
nat1,Gamelanders Purple,187,12,19,6,-7,1303,1,5,-4,17%,Griffos Starfire,Icebox,Null,Defesa,04/06/2021,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
Mands,Griffos Starfire,286,23,16,5,7,1820,5,2,3,18%,Gamelanders Purple,Icebox,Null,Ataque,04/06/2021,10,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Protocolo: Gêneses,Quartas de Final,3
